player,team_home,shot_type,situation,body_part,x,y,xg,minute,distance_to_goal,count
Pauline Machtens,True,save,regular,right-foot,20.6,46.6,0,90,20.878697277368627,1
Melanie Brunnthaler,True,block,assisted,left-foot,14.5,46.7,0,90,14.870776711389354,1
Mária Mikolajová,True,miss,corner,left-foot,11.1,67.3,0,90,20.554804791094462,1
Mária Mikolajová,True,miss,corner,left-foot,21.3,61.2,0,90,24.065119987234638,1
Mária Mikolajová,True,miss,corner,right-foot,17.0,65.2,0,90,22.804385543136217,1
Juliette Vidal,False,save,corner,left-foot,4.1,45.2,0,88,6.3126856408346494,1
Julia Mickenhagen,False,block,corner,right-foot,18.1,45.4,0,88,18.675384868858796,1
Juliette Vidal,False,save,assisted,left-foot,18.9,38.5,0,87,22.123742902140222,1
Kristin Kögel,False,save,assisted,head,3.9,43.8,0,82,7.324616030891997,1
Julia Mickenhagen,False,goal,assisted,left-foot,8.1,37.3,0,77,15.063200191194436,1
Loreen Bender,False,miss,regular,right-foot,9.7,51.8,0,77,9.865596788841513,1
Cornelia Kramer,False,save,assisted,right-foot,8.6,69.5,0,76,21.31220307711054,1
Cornelia Kramer,False,miss,assisted,left-foot,3.6,50.3,0,69,3.6124783736376886,1
Melina Krüger,True,miss,regular,right-foot,11.5,66.0,0,65,19.704060495238032,1
Svea Stoldt,True,block,set-piece,right-foot,19.3,46.2,0,65,19.67053634245899,1
Ruby Grant,False,block,regular,right-foot,20.4,35.4,0,62,25.08625121455974,1
Jonna Wrede,True,block,assisted,right-foot,19.1,33.7,0,60,25.10975905897944,1
Ruby Grant,False,save,assisted,head,9.7,42.7,0,58,12.140016474453398,1
Katharina Piljić,False,goal,assisted,right-foot,8.5,43.4,0,54,10.761505470890214,1
Ruby Grant,False,miss,corner,right-foot,13.9,40.0,0,51,17.12337583538947,1
Vanessa Fudalla,False,block,corner,left-foot,25.3,59.8,0,51,27.131715758499315,1
Vanessa Fudalla,False,block,assisted,left-foot,13.4,41.2,0,45,16.031219541881395,1
Sofie Zdebel,False,miss,corner,right-foot,16.2,62.4,0,45,20.400980368599935,1
Katharina Piljić,False,miss,corner,left-foot,13.7,66.1,0,45,21.140009460735815,1
Katharina Piljić,False,save,assisted,left-foot,27.1,42.6,0,45,28.092169727523718,1
Camilla Linberg,True,goal,fast-break,right-foot,10.6,43.1,0,41,12.64792473095883,1
Cornelia Kramer,False,miss,assisted,head,7.0,48.5,0,30,7.158910531638177,1
Loreen Bender,False,miss,assisted,right-foot,12.2,66.0,0,28,20.120636172845032,1
Katharina Piljić,False,miss,regular,left-foot,12.7,38.5,0,25,17.133009076049657,1
Cornelia Kramer,False,post,assisted,right-foot,12.1,44.3,0,25,13.375350462698165,1
Loreen Bender,False,miss,assisted,left-foot,10.1,56.0,0,24,11.747765745025731,1
Vanessa Fudalla,False,block,regular,left-foot,18.3,52.4,0,23,18.45670609832643,1
Sofie Zdebel,False,block,regular,right-foot,25.4,49.8,0,23,25.400787389370432,1
Cornelia Kramer,False,miss,fast-break,right-foot,10.6,58.4,0,22,13.52479205015737,1
Vanessa Fudalla,False,goal,assisted,right-foot,9.4,60.3,0,10,13.944532978913276,1
Loreen Bender,False,save,corner,head,5.8,49.3,0,9,5.842088667591412,1
